,Open,High,Low,Close
2024-02-19 20:00:00,0.65379,0.65391,0.65372,0.65390
2024-02-19 19:00:00,0.65369,0.65392,0.65365,0.65380
2024-02-19 18:00:00,0.65345,0.65380,0.65343,0.65366
2024-02-19 17:00:00,0.65357,0.65364,0.65328,0.65346
2024-02-19 16:00:00,0.65368,0.65403,0.65338,0.65360
2024-02-19 15:00:00,0.65379,0.65402,0.65349,0.65366
2024-02-19 14:00:00,0.65365,0.65403,0.65357,0.65382
2024-02-19 13:00:00,0.65360,0.65391,0.65355,0.65366
2024-02-19 12:00:00,0.65373,0.65400,0.65359,0.65360
2024-02-19 11:00:00,0.65397,0.65410,0.65357,0.65378
2024-02-19 10:00:00,0.65411,0.65434,0.65387,0.65398
2024-02-19 09:00:00,0.65425,0.65451,0.65394,0.65410
2024-02-19 08:00:00,0.65453,0.65464,0.65402,0.65424
2024-02-19 07:00:00,0.65423,0.65475,0.65395,0.65454
2024-02-19 06:00:00,0.65417,0.65445,0.65414,0.65425
2024-02-19 05:00:00,0.65372,0.65422,0.65356,0.65417
2024-02-19 04:00:00,0.65368,0.65417,0.65362,0.65374
2024-02-19 03:00:00,0.65397,0.65407,0.65356,0.65371
2024-02-19 02:00:00,0.65448,0.65519,0.65380,0.65403
2024-02-19 01:00:00,0.65369,0.65494,0.65363,0.65448
2024-02-19 00:00:00,0.65278,0.65380,0.65273,0.65364
2024-02-18 23:00:00,0.65250,0.65318,0.65241,0.65277
2024-02-16 21:00:00,0.65330,0.65354,0.65302,0.65323
2024-02-16 20:00:00,0.65413,0.65446,0.65325,0.65333
2024-02-16 19:00:00,0.65391,0.65436,0.65336,0.65415
2024-02-16 18:00:00,0.65297,0.65397,0.65270,0.65392
2024-02-16 17:00:00,0.65256,0.65350,0.65252,0.65302
2024-02-16 16:00:00,0.65064,0.65296,0.65040,0.65255
2024-02-16 15:00:00,0.65061,0.65104,0.64976,0.65074
2024-02-16 14:00:00,0.65199,0.65227,0.64960,0.65060
2024-02-16 13:00:00,0.65249,0.65300,0.65195,0.65200
2024-02-16 12:00:00,0.65238,0.65263,0.65226,0.65251
2024-02-16 11:00:00,0.65232,0.65262,0.65212,0.65242
2024-02-16 10:00:00,0.65197,0.65251,0.65188,0.65232
2024-02-16 09:00:00,0.65229,0.65235,0.65163,0.65198
2024-02-16 08:00:00,0.65218,0.65293,0.65193,0.65229
2024-02-16 07:00:00,0.65178,0.65230,0.65174,0.65221
2024-02-16 06:00:00,0.65163,0.65200,0.65159,0.65179
2024-02-16 05:00:00,0.65138,0.65180,0.65105,0.65169
2024-02-16 04:00:00,0.65138,0.65160,0.65111,0.65136
2024-02-16 03:00:00,0.65137,0.65176,0.65091,0.65139
2024-02-16 02:00:00,0.65117,0.65156,0.65066,0.65137
2024-02-16 01:00:00,0.65252,0.65260,0.65106,0.65120
2024-02-16 00:00:00,0.65244,0.65285,0.65242,0.65251
2024-02-15 23:00:00,0.65236,0.65260,0.65184,0.65246
2024-02-15 22:00:00,0.65225,0.65254,0.65216,0.65246
2024-02-15 21:00:00,0.65226,0.65232,0.65188,0.65223
2024-02-15 20:00:00,0.65166,0.65239,0.65159,0.65226
2024-02-15 19:00:00,0.65095,0.65182,0.65084,0.65169
2024-02-15 18:00:00,0.65062,0.65110,0.65060,0.65099
2024-02-15 17:00:00,0.65164,0.65171,0.65040,0.65060
2024-02-15 16:00:00,0.65193,0.65294,0.65136,0.65168
2024-02-15 15:00:00,0.65188,0.65242,0.65080,0.65193
2024-02-15 14:00:00,0.65026,0.65279,0.65002,0.65188
2024-02-15 13:00:00,0.65001,0.65059,0.64980,0.65029
2024-02-15 12:00:00,0.64984,0.65041,0.64969,0.64999
2024-02-15 11:00:00,0.64949,0.64998,0.64945,0.64984
2024-02-15 10:00:00,0.64953,0.64983,0.64920,0.64949
2024-02-15 09:00:00,0.64930,0.65007,0.64924,0.64954
2024-02-15 08:00:00,0.64934,0.65000,0.64880,0.64934
2024-02-15 07:00:00,0.64873,0.64950,0.64858,0.64937
2024-02-15 06:00:00,0.64843,0.64910,0.64837,0.64878
2024-02-15 05:00:00,0.64848,0.64871,0.64825,0.64842
2024-02-15 04:00:00,0.64869,0.64884,0.64835,0.64850
2024-02-15 03:00:00,0.64821,0.64895,0.64772,0.64871
2024-02-15 02:00:00,0.64856,0.64890,0.64771,0.64820
2024-02-15 01:00:00,0.64983,0.65013,0.64811,0.64863
2024-02-15 00:00:00,0.64905,0.64993,0.64898,0.64984
2024-02-14 23:00:00,0.64883,0.64930,0.64842,0.64910
2024-02-14 22:00:00,0.64908,0.64926,0.64856,0.64878
2024-02-14 21:00:00,0.64899,0.64923,0.64888,0.64908
2024-02-14 20:00:00,0.64899,0.64931,0.64868,0.64899
2024-02-14 19:00:00,0.64906,0.64955,0.64878,0.64904
2024-02-14 18:00:00,0.64878,0.64920,0.64828,0.64904
2024-02-14 17:00:00,0.64858,0.64891,0.64830,0.64875
2024-02-14 16:00:00,0.64771,0.64866,0.64740,0.64858
2024-02-14 15:00:00,0.64733,0.64852,0.64720,0.64770
2024-02-14 14:00:00,0.64792,0.64880,0.64727,0.64738
2024-02-14 13:00:00,0.64766,0.64801,0.64753,0.64789
2024-02-14 12:00:00,0.64777,0.64801,0.64728,0.64767
2024-02-14 11:00:00,0.64764,0.64790,0.64715,0.64776
2024-02-14 10:00:00,0.64744,0.64785,0.64708,0.64766
2024-02-14 09:00:00,0.64757,0.64768,0.64674,0.64745
2024-02-14 08:00:00,0.64716,0.64807,0.64669,0.64758
2024-02-14 07:00:00,0.64668,0.64752,0.64665,0.64718
2024-02-14 06:00:00,0.64627,0.64674,0.64620,0.64667
2024-02-14 05:00:00,0.64602,0.64640,0.64595,0.64626
2024-02-14 04:00:00,0.64556,0.64634,0.64542,0.64601
2024-02-14 03:00:00,0.64559,0.64586,0.64524,0.64554
2024-02-14 02:00:00,0.64518,0.64560,0.64459,0.64557
2024-02-14 01:00:00,0.64528,0.64562,0.64484,0.64514
2024-02-14 00:00:00,0.64553,0.64556,0.64502,0.64531
2024-02-13 23:00:00,0.64534,0.64566,0.64470,0.64546
2024-02-13 22:00:00,0.64517,0.64543,0.64508,0.64525
2024-02-13 21:00:00,0.64434,0.64532,0.64429,0.64518
2024-02-13 20:00:00,0.64512,0.64512,0.64422,0.64435
2024-02-13 19:00:00,0.64559,0.64575,0.64494,0.64510
2024-02-13 18:00:00,0.64590,0.64609,0.64529,0.64559
2024-02-13 17:00:00,0.64597,0.64646,0.64560,0.64591
2024-02-13 16:00:00,0.64573,0.64660,0.64525,0.64602
